"Arvind Fashions Ltd."
"Statement of Financial Position : Mar 2017 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","",""
"Equity & Liabilities","2,208.41","3,175.57","3,524.34","4,432.91","3,701.23","3,266.60","3,672.02","3,606.97","3,809.18"
"  Equity","658.04","1,059.78","1,120.90","597.30","521.98","750.25","909.64","1,003.29","957.12"
"    Share Capital","21.74","23.17","23.20","23.47","42.43","52.97","53.13","53.19","53.32"
"    Reserves & Surplus","636.30","1,036.61","1,097.70","573.83","479.55","697.28","856.51","950.10","903.80"
"    Money received against share warrants","","","","","","","","",""
"  Non-Current liabilities","209.97","156.05","174.60","1,092.28","1,039.22","660.05","677.08","695.05","751.02"
"    Long term Borrowings","152.93","80.63","86.30","162.78","157.26","71.71","30.59","10.58","8.33"
"    Long term Provisions","12.07","18.59","21.36","19.65","18.83","14.37","15.18","15.51","19.38"
"    Net Deferred Tax Liabilities","0.00","","","","","","","",""
"    Other Long Term Liabilities","44.97","56.83","66.94","909.85","863.13","573.97","631.31","668.96","723.31"
"  Current liabilities","1,340.39","1,872.43","2,129.16","2,655.67","2,070.61","1,756.14","1,902.71","1,719.50","1,893.66"
"    Short Term Borrowings","423.82","590.22","704.50","1,047.61","746.15","389.55","526.29","435.73","365.90"
"    Trade Payables","747.81","1,067.97","1,238.96","1,325.30","918.00","1,047.87","1,019.49","936.31","1,171.98"
"    Short term Provisions","4.63","16.62","21.29","6.31","7.74","13.87","9.67","13.65","11.27"
"    Other Short Term Liabilities","164.14","197.62","164.41","276.45","398.72","304.85","347.26","333.81","344.51"
"","","","","","","","","",""
"Assets","2,208.41","3,175.57","3,524.34","4,432.91","3,701.23","3,266.60","3,672.02","3,606.97","3,809.18"
"  Non-Current Assets","825.82","1,001.85","1,065.42","1,905.54","1,615.01","1,230.65","1,394.96","1,419.75","1,379.91"
"    Net Fixed Assets","340.45","531.96","537.46","1,234.16","1,044.87","661.33","864.94","895.94","1,008.27"
"    CWIP & Intangibles under Development","0.00","0.64","11.44","1.44","0.40","0.00","2.10","3.94","2.82"
"    Non Current Investments","82.14","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00"
"    Long Term Loans and Advances","0.31","0.70","0.31","0.07","1.02","0.80","0.14","0.02","0.01"
"    Net Deferred Tax Assets","211.45","236.20","269.18","434.47","391.90","410.97","412.00","389.23","260.55"
"    Other Non-Current Assets","191.46","232.33","247.01","235.40","176.82","157.55","115.78","130.62","108.26"
"  Current Assets","1,382.59","2,173.72","2,458.92","2,527.37","2,086.22","2,035.95","2,277.06","2,187.22","2,429.27"
"    Current Investments","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Inventories","943.58","727.29","1,184.16","1,305.83","810.01","830.81","981.90","909.45","1,080.05"
"    Trade Receivables","250.05","784.48","878.72","781.35","625.61","571.71","559.51","646.78","729.42"
"    Cash & Bank Balances","23.13","28.43","12.07","11.63","18.86","104.96","200.31","167.98","164.73"
"    Short Term Loans and Advances","12.92","18.87","33.88","45.74","34.17","4.29","1.63","1.15","1.57"
"    Other Current Assets","152.91","614.65","350.09","382.82","597.57","524.18","533.71","461.86","453.50"
"","","","","","","","","",""
"Contingent Liabilities Disclosure","","","","","","","","",""
"  Claims against company not acknowledged as debt","","","","","","","","",""
"  Guarantees","0.00","15.15","0.87","1.97","2.11","1.41","0.40","0.03","0.00"
"  Other money for which company is contingently liable","166.88","251.49","149.32","98.08","132.60","119.59","115.43","119.86","114.56"
"  Estimated amount of contracts remaining to be executed on capital account and not provided for","20.50","22.66","9.80","","","","","",""
"  Uncalled liability on shares and other investments partly paid","","","","","","","","",""
"  Other commitments","","","","","","","","",""
"Total contingent liabilities and commitments","187.38","289.30","159.99","100.05","134.71","121.00","115.83","119.89","114.56"
