"Avenue Supermarts Ltd."
"Statement of Financial Position : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Equity & Liabilities","3,081.53","5,802.15","5,612.47","6,997.57","12,084.13","13,646.39","15,403.96","18,243.60","21,566.12","24,891.47"
"  Equity","1,511.86","3,837.06","4,642.71","5,594.48","11,135.52","12,305.28","13,924.11","16,501.62","19,280.61","22,230.17"
"    Share Capital","561.54","624.08","624.08","624.08","647.77","647.77","647.77","648.26","650.73","650.73"
"    Reserves & Surplus","950.32","3,212.98","4,018.63","4,970.40","10,487.75","11,657.51","13,276.34","15,853.36","18,629.88","21,579.44"
"    Money received against share warrants","","","","","","","","","",""
"  Non-Current liabilities","966.62","1,034.05","293.08","190.52","226.80","269.26","385.56","408.20","409.16","616.90"
"    Long term Borrowings","908.47","980.92","246.00","125.67","178.13","216.92","320.31","0.00","0.00","0.00"
"    Long term Provisions","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Net Deferred Tax Liabilities","40.09","51.75","46.30","64.07","48.20","51.90","64.84","78.50","94.04","115.16"
"    Other Long Term Liabilities","18.06","1.38","0.78","0.78","0.47","0.44","0.41","329.70","315.12","501.74"
"  Current liabilities","603.05","931.04","676.68","1,212.57","721.81","1,071.85","1,094.29","1,332.87","1,876.35","2,044.40"
"    Short Term Borrowings","113.49","122.66","7.25","299.15","68.02","78.61","95.63","0.00","0.00","0.00"
"    Trade Payables","200.47","266.76","315.87","458.28","445.97","565.54","531.21","701.28","952.76","1,004.18"
"    Short term Provisions","16.20","8.16","11.85","39.39","14.77","134.86","144.74","131.42","309.81","283.21"
"    Other Short Term Liabilities","272.89","533.46","341.71","415.75","193.05","292.84","322.71","500.17","613.78","757.01"
"","","","","","","","","","",""
"Assets","3,081.53","5,802.15","5,612.47","6,997.57","12,084.13","13,646.39","15,403.96","18,243.60","21,566.12","24,891.47"
"  Non-Current Assets","2,289.87","2,834.04","3,666.06","4,968.52","9,791.86","9,685.50","12,052.82","12,906.19","15,505.84","18,718.78"
"    Net Fixed Assets","2,065.44","2,521.53","3,239.85","4,216.13","5,718.88","6,629.35","8,732.62","10,758.01","12,933.79","15,720.41"
"    CWIP & Intangibles under Development","81.69","152.89","147.05","376.55","361.94","1,006.21","1,073.14","828.90","929.99","1,090.51"
"    Non Current Investments","29.65","63.99","145.83","230.10","303.83","493.79","628.42","853.22","1,039.56","1,327.71"
"    Long Term Loans and Advances","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Net Deferred Tax Assets","","","","0.03","7.68","0.71","0.70","15.11","16.10","16.10"
"    Other Non-Current Assets","113.09","95.63","133.33","145.71","3,399.53","1,555.44","1,617.94","450.95","586.40","564.05"
"  Current Assets","791.67","2,968.11","1,946.41","2,029.05","2,292.27","3,960.89","3,351.14","5,337.41","6,060.28","6,172.69"
"    Current Investments","0.00","0.00","51.71","0.00","0.00","0.00","0.00","202.19","106.66","0.00"
"    Inventories","660.20","933.16","1,147.04","1,576.22","1,909.43","2,167.33","2,586.89","3,055.56","3,723.43","4,805.45"
"    Trade Receivables","8.38","21.00","33.36","75.52","48.53","72.10","230.86","246.59","393.34","348.53"
"    Cash & Bank Balances","32.59","1,881.31","556.46","213.55","92.24","1,431.99","284.31","1,372.81","559.86","331.31"
"    Short Term Loans and Advances","2.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Other Current Assets","87.84","132.64","157.84","163.76","242.07","289.47","249.08","460.26","1,276.99","687.40"
"","","","","","","","","","",""
"Contingent Liabilities Disclosure","","","","","","","","","",""
"  Claims against company not acknowledged as debt","","","","","","","","","",""
"  Guarantees","","","","","","","","27.80","21.41","13.01"
"  Other money for which company is contingently liable","4.23","19.60","20.17","54.36","56.11","11.32","28.44","43.78","126.94","269.97"
"  Estimated amount of contracts remaining to be executed on capital account and not provided for","488.65","700.23","1,096.25","1,529.22","2,150.91","2,816.65","2,668.17","2,078.64","3,605.34","4,274.09"
"  Uncalled liability on shares and other investments partly paid","0.00","0.00","","","","","","","",""
"  Other commitments","0.00","0.00","","","","","","","",""
"Total contingent liabilities and commitments","492.89","719.83","1,116.42","1,583.58","2,207.02","2,827.97","2,696.61","2,150.22","3,753.69","4,557.07"
