"Ethos Ltd."
"Statement of Financial Position : Mar 2018 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","",""
"Equity & Liabilities","249.82","301.41","424.67","393.54","504.36","879.70","1,170.64","1,409.65"
"  Equity","91.61","133.70","152.22","156.93","231.68","631.50","883.97","982.20"
"    Share Capital","15.91","16.90","18.21","18.21","19.08","23.35","24.48","24.48"
"    Reserves & Surplus","75.70","116.80","134.00","138.72","212.61","608.15","859.49","957.72"
"    Money received against share warrants","","","","","","","",""
"  Non-Current liabilities","12.52","17.80","97.82","88.64","109.22","98.68","115.91","247.97"
"    Long term Borrowings","11.09","16.20","15.76","17.08","27.64","7.12","2.06","0.13"
"    Long term Provisions","1.42","1.10","1.30","1.57","1.42","1.92","2.50","2.88"
"    Net Deferred Tax Liabilities","","","","0.00","","","",""
"    Other Long Term Liabilities","","0.49","80.76","69.98","80.15","89.64","111.35","244.97"
"  Current liabilities","145.70","149.73","174.63","147.96","163.45","149.52","170.77","179.47"
"    Short Term Borrowings","40.99","53.04","53.55","34.91","31.78","0.87","4.64","1.83"
"    Trade Payables","77.23","68.60","72.43","71.99","83.54","96.58","95.97","88.76"
"    Short term Provisions","0.66","4.43","2.75","3.08","3.45","4.11","5.02","4.92"
"    Other Short Term Liabilities","26.82","23.66","45.89","37.99","44.68","47.95","65.14","83.97"
"","","","","","","","",""
"Assets","249.82","301.41","424.67","393.54","504.36","879.70","1,170.64","1,409.65"
"  Non-Current Assets","38.68","49.97","149.95","137.01","167.93","241.17","306.59","519.12"
"    Net Fixed Assets","16.74","21.79","31.40","31.33","37.92","93.55","104.35","140.74"
"    CWIP & Intangibles under Development","0.64","4.78","0.76","3.81","0.00","4.01","8.56","30.61"
"    Non Current Investments","0.00","0.00","0.67","0.80","1.57","2.07","25.36","36.22"
"    Long Term Loans and Advances","9.11","10.24","8.05","8.99","0.04","0.06","0.02","0.00"
"    Net Deferred Tax Assets","4.84","6.32","7.28","8.22","9.06","8.61","9.04","9.42"
"    Other Non-Current Assets","7.35","6.83","101.80","83.86","119.34","132.87","159.25","302.13"
"  Current Assets","211.14","251.45","274.72","256.53","336.42","638.53","864.05","890.52"
"    Current Investments","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Inventories","171.03","205.57","218.59","197.77","249.93","339.87","439.69","592.67"
"    Trade Receivables","6.46","8.92","9.38","12.18","5.18","6.18","15.57","18.26"
"    Cash & Bank Balances","7.29","7.84","10.01","20.51","39.84","228.63","345.46","220.02"
"    Short Term Loans and Advances","4.91","4.06","7.21","6.57","0.27","0.25","0.24","0.05"
"    Other Current Assets","21.45","25.06","29.53","19.49","41.20","63.59","63.09","59.52"
"","","","","","","","",""
"Contingent Liabilities Disclosure","","","","","","","",""
"  Claims against company not acknowledged as debt","0.01","10.95","3.33","36.55","","","",""
"  Guarantees","","","","0.00","","","",""
"  Other money for which company is contingently liable","4.27","5.53","","0.00","63.09","42.39","16.32","33.53"
"  Estimated amount of contracts remaining to be executed on capital account and not provided for","0.66","1.89","3.07","1.22","26.00","4.72","10.56","10.13"
"  Uncalled liability on shares and other investments partly paid","","","","0.00","","","",""
"  Other commitments","71.13","72.42","","0.00","","","",""
"Total contingent liabilities and commitments","76.06","90.79","6.40","37.77","89.09","47.11","26.88","43.65"
