"Kalyan Jewellers India Ltd."
"Statement of Financial Position : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Equity & Liabilities","6,042.23","6,309.68","7,936.29","7,366.92","8,218.68","8,865.13","8,945.14","10,712.94","12,817.74","15,125.95"
"  Equity","1,457.97","1,415.16","2,043.58","2,097.00","2,161.11","2,826.03","3,137.03","3,634.71","4,189.06","4,803.58"
"    Share Capital","904.26","839.24","958.29","958.29","958.29","1,030.05","1,030.05","1,030.05","1,030.05","1,031.44"
"    Reserves & Surplus","553.71","575.92","1,085.29","1,138.71","1,202.82","1,795.98","2,106.97","2,604.66","3,159.00","3,772.14"
"    Money received against share warrants","","","","","","","","","",""
"  Non-Current liabilities","202.57","293.62","204.89","143.87","782.92","666.61","625.35","709.74","1,068.93","1,511.66"
"    Long term Borrowings","195.41","283.47","178.61","107.50","84.84","20.15","24.27","7.77","0.00","0.00"
"    Long term Provisions","7.16","10.15","19.99","23.97","30.68","34.21","34.34","37.65","45.56","50.08"
"    Net Deferred Tax Liabilities","0.00","0.00","6.29","12.40","","","0.00","","",""
"    Other Long Term Liabilities","","","","0.00","667.41","612.25","566.74","664.31","1,023.37","1,461.58"
"  Current liabilities","4,381.69","4,600.90","5,690.13","5,129.62","5,277.68","5,371.99","5,181.82","6,368.72","7,561.04","8,810.70"
"    Short Term Borrowings","2,438.69","2,250.29","1,843.57","2,099.95","3,505.35","3,198.31","1,842.10","1,647.21","1,072.94","949.70"
"    Trade Payables","1,067.83","1,328.50","2,701.56","419.41","557.56","690.11","656.59","1,192.69","1,944.15","2,350.31"
"    Short term Provisions","12.18","17.60","51.60","7.58","46.89","76.15","14.94","33.78","21.26","90.70"
"    Other Short Term Liabilities","862.99","1,004.51","1,093.40","2,602.68","1,167.88","1,407.43","2,668.19","3,495.03","4,522.69","5,420.00"
"","","","","","","","","","",""
"Assets","6,042.23","6,309.68","7,936.29","7,366.92","8,218.68","8,865.13","8,945.14","10,712.94","12,817.74","15,125.95"
"  Non-Current Assets","1,229.58","1,219.23","1,461.52","1,651.13","2,320.29","2,154.85","2,103.79","2,197.10","2,868.72","3,726.64"
"    Net Fixed Assets","940.58","986.40","1,195.04","1,376.76","1,093.90","976.21","993.59","1,841.75","2,237.92","2,785.04"
"    CWIP & Intangibles under Development","14.79","0.00","17.99","21.73","24.45","53.06","2.13","20.49","48.84","7.75"
"    Non Current Investments","55.78","62.23","63.28","64.78","62.23","61.14","61.74","65.49","65.54","66.40"
"    Long Term Loans and Advances","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Net Deferred Tax Assets","7.41","5.67","0.02","0.00","8.10","46.06","50.25","56.19","66.23","112.52"
"    Other Non-Current Assets","211.02","164.93","185.19","187.87","1,131.61","1,018.39","996.08","213.18","450.20","754.92"
"  Current Assets","4,812.65","5,090.45","6,474.77","5,715.78","5,898.39","6,710.28","6,841.35","8,515.84","9,949.02","11,399.31"
"    Current Investments","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Inventories","3,902.20","4,167.15","5,022.07","4,500.70","4,720.34","5,303.09","5,794.26","7,013.88","8,297.57","9,681.11"
"    Trade Receivables","31.45","13.83","181.82","146.69","213.65","112.66","119.47","244.23","328.32","399.92"
"    Cash & Bank Balances","593.24","694.54","1,017.91","825.45","750.14","1,096.62","777.20","981.88","975.10","1,031.07"
"    Short Term Loans and Advances","13.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Other Current Assets","271.96","214.93","252.97","242.95","214.26","197.90","150.42","275.86","348.03","287.21"
"","","","","","","","","","",""
"Contingent Liabilities Disclosure","","","","","","","","","",""
"  Claims against company not acknowledged as debt","","","","","","","","","",""
"  Guarantees","","","","","","","","","",""
"  Other money for which company is contingently liable","","","","","25.26","198.53","222.36","281.75","455.53","389.03"
"  Estimated amount of contracts remaining to be executed on capital account and not provided for","","","","","","","0.00","","",""
"  Uncalled liability on shares and other investments partly paid","","","","","","","0.00","","",""
"  Other commitments","","","","","","","0.00","1.00","1.00","36.30"
"Total contingent liabilities and commitments","0.00","0.00","0.00","0.00","25.26","198.53","222.36","282.75","456.53","425.33"
