"Metro Brands Ltd."
"Statement of Financial Position : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Equity & Liabilities","516.80","643.53","772.13","949.86","1,617.42","1,659.34","2,304.84","2,906.37","3,352.68","3,334.45"
"  Equity","396.03","467.89","577.14","686.90","807.29","827.57","1,264.69","1,547.71","1,863.57","1,708.90"
"    Share Capital","14.73","14.73","14.73","132.77","132.77","132.77","135.75","135.87","135.96","136.12"
"    Reserves & Surplus","381.31","453.16","562.41","554.14","674.52","694.81","1,128.94","1,411.84","1,727.61","1,572.78"
"    Money received against share warrants","","","","","","","","","",""
"  Non-Current liabilities","4.07","6.71","2.84","6.44","458.59","489.28","598.82","817.33","953.60","1,055.30"
"    Long term Borrowings","0.01","0.00","0.04","0.01","0.00","0.00","0.00","0.00","0.00","0.00"
"    Long term Provisions","0.23","0.33","0.37","0.58","0.56","0.63","0.63","1.11","0.72","0.82"
"    Net Deferred Tax Liabilities","0.05","1.65","2.44","5.85","","","","","",""
"    Other Long Term Liabilities","3.79","4.73","","0.00","458.03","488.65","598.18","816.22","952.88","1,054.48"
"  Current liabilities","108.05","157.57","177.50","236.97","328.08","322.62","418.88","514.91","505.98","541.18"
"    Short Term Borrowings","2.99","2.90","5.95","9.86","11.52","1.41","0.00","1.52","0.00","0.00"
"    Trade Payables","87.34","107.73","141.12","193.94","201.46","204.65","211.36","294.70","257.04","225.81"
"    Short term Provisions","3.64","1.48","7.36","4.25","2.48","5.18","12.79","10.37","9.88","10.18"
"    Other Short Term Liabilities","14.07","45.46","23.07","28.91","112.61","111.39","194.73","208.32","239.06","305.19"
"","","","","","","","","","",""
"Assets","516.80","643.53","772.13","949.86","1,617.42","1,659.34","2,304.84","2,906.37","3,352.68","3,334.45"
"  Non-Current Assets","162.89","214.76","239.38","283.05","785.75","801.43","946.15","1,403.59","1,660.96","1,766.10"
"    Net Fixed Assets","134.52","171.31","184.61","222.77","708.04","723.58","847.77","1,302.10","1,482.30","1,601.98"
"    CWIP & Intangibles under Development","0.60","4.32","6.01","4.07","13.03","4.54","6.19","17.84","9.30","9.38"
"    Non Current Investments","0.00","5.12","5.56","7.06","7.89","7.30","8.49","11.83","14.85","20.62"
"    Long Term Loans and Advances","27.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Net Deferred Tax Assets","0.42","","0.16","0.06","12.39","16.67","22.30","4.91","36.25","33.98"
"    Other Non-Current Assets","0.33","34.02","43.04","49.10","44.39","49.34","61.40","66.91","118.26","100.14"
"  Current Assets","353.90","428.77","532.75","666.82","831.68","857.90","1,358.69","1,502.78","1,691.72","1,568.35"
"    Current Investments","76.40","90.58","178.95","202.77","340.46","392.37","392.55","465.79","735.10","529.41"
"    Inventories","232.65","264.57","279.41","364.62","376.13","289.75","424.19","645.76","710.15","636.90"
"    Trade Receivables","23.03","30.30","39.36","51.93","70.13","50.55","48.39","105.27","75.67","91.20"
"    Cash & Bank Balances","6.50","25.03","15.45","12.09","10.88","87.92","396.46","198.50","112.26","101.00"
"    Short Term Loans and Advances","12.91","0.71","1.14","1.37","1.91","1.88","1.49","1.27","1.66","1.63"
"    Other Current Assets","2.42","17.59","18.45","34.04","32.16","35.42","95.61","86.19","56.88","208.21"
"","","","","","","","","","",""
"Contingent Liabilities Disclosure","","","","","","","","","",""
"  Claims against company not acknowledged as debt","","","","","","","","","",""
"  Guarantees","","","","","","","","","",""
"  Other money for which company is contingently liable","21.59","35.01","67.31","14.07","8.33","12.58","2.56","2.74","6.42","6.07"
"  Estimated amount of contracts remaining to be executed on capital account and not provided for","2.21","3.76","4.16","2.75","10.44","1.14","2.50","19.00","4.21","2.42"
"  Uncalled liability on shares and other investments partly paid","","","","","","","","","",""
"  Other commitments","19.19","23.28","37.86","","","","","0.02","0.10","0.02"
"Total contingent liabilities and commitments","43.00","62.04","109.33","16.82","18.77","13.72","5.06","21.76","10.73","8.51"
