"Titan Company Ltd."
"Statement of Financial Position : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Equity & Liabilities","6,341.91","8,407.90","9,524.21","11,715.25","13,550.00","16,452.00","21,194.00","27,023.00","31,550.00","40,647.00"
"  Equity","3,506.28","4,232.38","5,089.88","6,070.15","6,668.78","7,497.00","9,303.00","11,851.00","9,393.00","11,624.00"
"    Share Capital","88.78","88.78","88.78","88.78","88.78","89.00","89.00","89.00","89.00","89.00"
"    Reserves & Surplus","3,417.50","4,143.60","5,001.10","5,981.37","6,580.00","7,408.00","9,214.00","11,762.00","9,304.00","11,535.00"
"    Money received against share warrants","","","","","","","","","",""
"  Non-Current liabilities","122.05","121.41","120.77","169.09","1,249.00","1,236.00","1,349.00","1,855.00","5,628.00","3,230.00"
"    Long term Borrowings","0.00","0.00","0.00","31.67","17.00","9.00","2.00","0.00","3,302.00","595.00"
"    Long term Provisions","108.99","121.08","116.34","130.68","166.00","156.00","198.00","240.00","274.00","299.00"
"    Net Deferred Tax Liabilities","13.06","0.33","3.17","5.41","6.00","8.00","6.00","3.00","3.00","2.00"
"    Other Long Term Liabilities","","0.00","1.26","1.33","1,060.00","1,063.00","1,143.00","1,612.00","2,049.00","2,334.00"
"  Current liabilities","2,713.58","4,027.75","4,315.38","5,461.93","5,628.22","7,714.00","10,512.00","13,264.00","16,529.00","25,793.00"
"    Short Term Borrowings","113.05","0.00","1,691.01","2,352.98","2,291.00","4,366.00","5,914.00","7,494.00","9,877.00","17,501.00"
"    Trade Payables","1,654.75","782.76","877.74","905.98","597.22","789.00","1,294.00","1,214.00","1,410.00","1,963.00"
"    Short term Provisions","21.16","22.20","46.72","75.04","128.00","110.00","120.00","205.00","162.00","195.00"
"    Other Short Term Liabilities","924.62","3,222.79","1,699.91","2,127.93","2,612.00","2,449.00","3,184.00","4,351.00","5,080.00","6,134.00"
"","","","","","","","","","",""
"Assets","6,341.91","8,407.90","9,524.21","11,715.25","13,550.00","16,452.00","21,194.00","27,023.00","31,550.00","40,647.00"
"  Non-Current Assets","1,216.62","1,672.20","1,923.20","2,006.24","3,285.00","3,134.00","3,740.00","4,616.00","5,942.00","6,213.00"
"    Net Fixed Assets","760.82","1,178.07","1,451.13","1,542.61","1,674.00","1,582.00","2,543.00","2,997.00","3,708.00","4,061.00"
"    CWIP & Intangibles under Development","106.71","152.07","43.37","31.77","18.00","32.00","85.00","144.00","97.00","105.00"
"    Non Current Investments","37.58","47.66","57.06","63.22","1,003.00","960.00","280.00","352.00","680.00","652.00"
"    Long Term Loans and Advances","0.00","0.00","115.90","129.13","154.00","158.00","42.00","54.00","72.00","62.00"
"    Net Deferred Tax Assets","0.00","3.59","36.06","74.18","159.00","105.00","187.00","158.00","187.00","170.00"
"    Other Non-Current Assets","311.51","290.81","219.68","165.33","277.00","297.00","603.00","911.00","1,198.00","1,163.00"
"  Current Assets","5,125.29","6,735.70","7,601.01","9,709.01","10,265.00","13,318.00","17,454.00","22,407.00","25,608.00","34,434.00"
"    Current Investments","2.55","393.72","1.61","69.22","114.00","2,805.00","15.00","2,164.00","1,666.00","1,337.00"
"    Inventories","4,447.15","4,925.74","5,924.84","7,038.82","8,103.00","8,408.00","13,609.00","16,584.00","19,051.00","28,184.00"
"    Trade Receivables","192.50","207.60","295.69","420.45","312.00","366.00","565.00","674.00","1,018.00","1,068.00"
"    Cash & Bank Balances","116.35","778.93","617.91","1,066.48","381.00","560.00","1,573.00","1,343.00","1,526.00","1,584.00"
"    Short Term Loans and Advances","0.00","0.00","266.32","368.31","200.00","230.00","423.00","135.00","281.00","44.00"
"    Other Current Assets","366.74","429.71","494.64","745.73","1,155.00","949.00","1,269.00","1,507.00","2,066.00","2,217.00"
"","","","","","","","","","",""
"Contingent Liabilities Disclosure","","","","","","","","","",""
"  Claims against company not acknowledged as debt","","","","","","","","","",""
"  Guarantees","","","","","","","","","",""
"  Other money for which company is contingently liable","","","267.45","292.80","353.00","366.00","410.00","419.00","296.00","254.00"
"  Estimated amount of contracts remaining to be executed on capital account and not provided for","","","","","","","","","",""
"  Uncalled liability on shares and other investments partly paid","","","","","","","","","",""
"  Other commitments","","","","","","","","","",""
"Total contingent liabilities and commitments","0.00","0.00","267.45","292.80","353.00","366.00","410.00","419.00","296.00","254.00"
