"Arvind Fashions Ltd."
"Statement of Financial Ratios : Mar 2017 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","",""
"","","","","","","","","",""
"Profitability Ratios","","","","","","","","",""
"  Operating Profit Margin(%)","2.49","2.15","2.92","-4.48","-12.47","-1.71","4.85","6.61","7.55"
"  Net Profit Margin(%)","1.16","0.31","0.46","-9.80","-19.70","-3.33","1.97","2.48","0.74"
"  Return on Equity(%)","2.28","1.37","1.48","-67.09","-111.07","-35.64","4.04","8.04","-3.72"
"","","","","","","","","",""
"Working Capital Turnover Ratios","","","","","","","","",""
"  Inventory Turnover(Times)"," ","4.94","4.72","3.03","2.03","3.79","4.64","4.21","4.29"
"  Inventory Turnover (Days)"," ","73.87","77.38","120.37","179.57","96.34","78.64","86.78","85.01"
"  Debtors Turnover(Times)"," ","8.16","5.58","4.35","2.72","5.10","7.82","7.06","6.71"
"  Debtors Turnover (Days)"," ","44.75","65.36","83.84","134.30","71.50","46.70","51.69","54.36"
"  Creditors Turnover(Times)"," ","1.74","2.38","1.64","0.56","1.77","2.36","2.13","2.22"
"  Creditors Turnover (Days)"," ","210.29","153.14","222.49","654.15","205.64","154.75","171.32","164.19"
"","","","","","","","","",""
"Liquidity Ratios","","","","","","","","",""
"  Debt/Equity(Times)","0.88","0.63","0.71","2.03","1.73","0.61","0.61","0.44","0.39"
"  Current Ratio(Times)","1.03","1.16","1.15","0.95","1.01","1.16","1.20","1.27","1.28"
