"Avenue Supermarts Ltd."
"Statement of Financial Ratios : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"","","","","","","","","","",""
"Profitability Ratios","","","","","","","","","",""
"  Operating Profit Margin(%)","6.58","7.11","7.95","7.33","7.30","5.91","6.96","7.54","7.09","6.62"
"  Net Profit Margin(%)","3.70","4.05","5.20","4.69","5.46","4.86","5.30","6.09","5.42","5.05"
"  Return on Equity(%)","21.03","12.58","16.90","16.74","12.12","9.47","11.61","15.49","13.98","13.17"
"","","","","","","","","","",""
"Working Capital Turnover Ratios","","","","","","","","","",""
"  Inventory Turnover(Times)","13.46","13.85","13.28","13.55","13.13","10.98","11.88","13.71","13.58","12.65"
"  Inventory Turnover (Days)","27.11","26.35","27.48","26.93","27.81","33.24","30.72","26.62","26.88","28.84"
"  Debtors Turnover(Times)","1,110.06","808.92","552.22","365.84","397.82","394.38","200.37","175.24","154.81","155.79"
"  Debtors Turnover (Days)","0.33","0.45","0.66","1.00","0.92","0.93","1.82","2.08","2.36","2.34"
"  Creditors Turnover(Times)","44.56","44.39","44.15","44.98","47.22","40.76","48.27","58.81","52.25","51.81"
"  Creditors Turnover (Days)","8.19","8.22","8.27","8.12","7.73","8.96","7.56","6.21","6.99","7.04"
"","","","","","","","","","",""
"Liquidity Ratios","","","","","","","","","",""
"  Debt/Equity(Times)","0.68","0.29","0.05","0.08","0.02","0.02","0.03","0.00","0.00","0.00"
"  Current Ratio(Times)","1.31","3.19","2.88","1.67","3.18","3.70","3.06","4.00","3.23","3.02"
