"Ethos Ltd."
"Statement of Financial Ratios : Mar 2018 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","",""
"","","","","","","","",""
"Profitability Ratios","","","","","","","",""
"  Operating Profit Margin(%)","2.82","6.29","3.79","1.90","6.16","10.15","10.39","10.27"
"  Net Profit Margin(%)","1.12","3.00","-0.54","1.18","3.96","7.51","8.15","7.55"
"  Return on Equity(%)","4.36","10.00","-1.62","3.03","10.09","9.55","9.42","9.80"
"","","","","","","","",""
"Working Capital Turnover Ratios","","","","","","","",""
"  Inventory Turnover(Times)"," ","2.21","2.08","1.82","2.42","2.40","2.30","2.18"
"  Inventory Turnover (Days)"," ","165.37","175.73","200.38","150.83","151.93","158.93","167.76"
"  Debtors Turnover(Times)"," ","57.70","50.04","35.85","66.50","138.83","91.86","73.99"
"  Debtors Turnover (Days)"," ","6.33","7.29","10.18","5.49","2.63","3.97","4.93"
"  Creditors Turnover(Times)"," ","4.80","4.85","3.61","5.96","7.04","8.29","11.15"
"  Creditors Turnover (Days)"," ","76.07","75.25","101.05","61.27","51.82","44.03","32.74"
"","","","","","","","",""
"Liquidity Ratios","","","","","","","",""
"  Debt/Equity(Times)","0.57","0.52","0.46","0.33","0.26","0.01","0.01","0.00"
"  Current Ratio(Times)","1.45","1.68","1.57","1.73","2.06","4.27","5.06","4.96"
