"Kalyan Jewellers India Ltd."
"Statement of Financial Ratios : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"","","","","","","","","","",""
"Profitability Ratios","","","","","","","","","",""
"  Operating Profit Margin(%)","2.27","4.81","4.64","2.98","5.18","4.35","5.42","6.21","5.47","4.73"
"  Net Profit Margin(%)","0.45","1.16","1.46","0.18","1.40","-0.07","2.06","3.06","3.20","2.84"
"  Return on Equity(%)","3.04","7.86","7.64","0.91","6.62","-0.22","7.15","11.88","14.23","14.87"
"","","","","","","","","","",""
"Working Capital Turnover Ratios","","","","","","","","","",""
"  Inventory Turnover(Times)","4.91","2.26","2.19","1.99","2.08","1.64","1.84","2.06","2.29","2.65"
"  Inventory Turnover (Days)","74.33","161.34","166.72","183.32","175.71","223.08","197.94","177.12","159.65","137.52"
"  Debtors Turnover(Times)","623.43","423.56","107.82","59.48","56.06","52.55","93.20","77.38","64.68","68.78"
"  Debtors Turnover (Days)","0.59","0.86","3.39","6.14","6.51","6.95","3.92","4.72","5.64","5.31"
"  Creditors Turnover(Times)","17.49","6.31","4.43","4.87","17.47","12.38","14.24","14.07","10.90","10.76"
"  Creditors Turnover (Days)","20.86","57.89","82.38","74.89","20.89","29.49","25.63","25.95","33.48","33.92"
"","","","","","","","","","",""
"Liquidity Ratios","","","","","","","","","",""
"  Debt/Equity(Times)","1.81","1.79","0.99","1.05","1.66","1.14","0.59","0.46","0.26","0.20"
"  Current Ratio(Times)","1.10","1.11","1.14","1.11","1.12","1.25","1.32","1.34","1.32","1.29"
