"Metro Brands Ltd."
"Statement of Financial Ratios : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"","","","","","","","","","",""
"Profitability Ratios","","","","","","","","","",""
"  Operating Profit Margin(%)","16.10","14.59","19.07","18.29","18.23","6.35","20.47","23.57","20.18","20.26"
"  Net Profit Margin(%)","10.82","10.14","12.96","12.79","12.18","7.42","15.19","16.66","16.99","13.57"
"  Return on Equity(%)","21.45","20.22","24.65","22.49","19.41","8.24","16.73","23.35","22.14","20.52"
"","","","","","","","","","",""
"Working Capital Turnover Ratios","","","","","","","","","",""
"  Inventory Turnover(Times)","2.94","3.28","3.23","3.09","2.84","2.25","2.99","3.04","2.77","2.97"
"  Inventory Turnover (Days)","124.13","111.28","113.03","118.19","128.63","162.20","122.00","120.11","131.54","122.96"
"  Debtors Turnover(Times)","36.05","35.80","31.16","26.66","21.06","13.26","27.15","27.69","26.05","30.05"
"  Debtors Turnover (Days)","10.13","10.20","11.71","13.69","17.33","27.53","13.45","13.18","14.01","12.15"
"  Creditors Turnover(Times)","4.50","4.80","4.12","3.78","2.94","1.35","3.37","4.21","3.81","4.09"
"  Creditors Turnover (Days)","81.06","76.06","88.69","96.46","123.95","270.39","108.41","86.66","95.72","89.23"
"","","","","","","","","","",""
"Liquidity Ratios","","","","","","","","","",""
"  Debt/Equity(Times)","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"  Current Ratio(Times)","3.28","2.72","3.00","2.81","2.53","2.66","3.24","2.92","3.34","2.90"
