"Titan Company Ltd."
"Statement of Financial Ratios : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"","","","","","","","","","",""
"Profitability Ratios","","","","","","","","","",""
"  Operating Profit Margin(%)","7.54","7.81","9.51","9.41","10.22","6.42","10.34","11.04","9.34","8.41"
"  Net Profit Margin(%)","5.94","5.18","6.78","6.96","7.04","4.46","7.57","8.01","6.77","5.48"
"  Return on Equity(%)","19.24","16.47","22.20","23.13","22.49","12.98","23.36","27.42","37.22","28.71"
"","","","","","","","","","",""
"Working Capital Turnover Ratios","","","","","","","","","",""
"  Inventory Turnover(Times)","2.46","2.63","2.69","2.76","2.50","2.45","2.35","2.39","2.60","2.34"
"  Inventory Turnover (Days)","148.29","138.65","135.45","132.04","146.20","148.77","155.62","152.66","140.42","155.68"
"  Debtors Turnover(Times)","59.18","66.89","64.20","55.24","57.48","63.85","61.87","65.50","60.38","57.96"
"  Debtors Turnover (Days)","6.17","5.46","5.69","6.61","6.35","5.72","5.90","5.57","6.04","6.30"
"  Creditors Turnover(Times)","4.77","8.19","15.28","17.38","21.58","24.12","25.77","26.57","31.94","33.55"
"  Creditors Turnover (Days)","76.50","44.59","23.89","21.00","16.91","15.13","14.16","13.74","11.43","10.88"
"","","","","","","","","","",""
"Liquidity Ratios","","","","","","","","","",""
"  Debt/Equity(Times)","0.03","0.00","0.33","0.39","0.35","0.58","0.64","0.63","1.40","1.56"
"  Current Ratio(Times)","1.89","1.67","1.76","1.78","1.82","1.73","1.66","1.69","1.55","1.34"
