"Arvind Fashions Ltd."
"Statement of Cash Flow : Mar 2017 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","",""
"Net cash flow from operating activities","-145.64","-77.78","175.09","205.69","-69.65","300.12","317.27","434.18","529.52"
"  Net profit before tax and extra ordinary income","1.94","11.57","12.88","-376.64","-310.98","-109.88","128.03","170.01","225.12"
"  Adjustments for non-cash and non-operating expenses and income","-140.41","-63.92","200.28","652.60","275.31","421.82","232.53","333.00","347.74"
"    Depreciation","42.96","138.95","153.16","437.51","334.05","260.92","238.73","249.21","255.72"
"    Interest Income","-0.58","-3.34","-2.21","-2.61","-2.36","-6.99","-15.69","-16.30","-21.45"
"    Interest Expense","32.59","91.34","126.21","289.11","235.68","136.93","138.38","151.92","155.80"
"    Dividend Income","","","","","","","","",""
"  Operating cash flow before working capital changes","","","","","","","","",""
"    Cash Inflow/Outflow due to working capital changes","","","","","","","","",""
"  Cash flow generated from operations","-141.65","-52.35","213.16","215.27","-80.87","311.94","360.56","496.84","572.86"
"    Cash outflow due to direct taxes paid","-3.99","-25.43","-36.88","-11.17","11.22","-11.82","-43.29","-62.66","-43.34"
"  Cash flow before extraordinary items","","","","","","","","",""
"    Cash inflow or (outflow) from extraordinary items","","","","","","","","",""
"    Cash (outflow) due to miscellaneous expenditure","","","","","","","","",""
"Net cash flow from investment activities","-709.75","-148.99","-149.93","-117.66","-48.80","-8.51","-28.49","31.87","-75.22"
"  Purchase of fixed Assets","-140.04","-170.07","-153.38","-129.80","-46.36","0.00","-63.24","-82.27","-95.82"
"  Sale of Fixed Assets","","","0.00","9.72","0.00","16.60","1.96","2.15","4.58"
"  Purchase of Investments","562.74","","","","","","0.00","70.00","0.00"
"  Sale of Investments","","","","","","","0.00","164.92","0.00"
"  Interest Received","0.41","3.07","2.41","2.70","2.01","7.05","8.47","9.25","14.91"
"  Dividend Received","","","","","","","","",""
"Net cash flow from financing activities","854.79","226.21","-45.94","-85.33","112.78","-209.21","-197.68","-491.22","-456.02"
"  Proceeds from Share Issue / Share Warrants","880.30","300.00","11.92","0.79","499.30","494.82","5.42","2.33","5.25"
"  Redemption or Buyback of Capital","","","","","","","","",""
"  Proceeds from Borrowings","13.18","39.67","96.76","341.52","-299.67","-441.30","95.92","-131.55","-76.52"
"  Repayment of Borrowings","-19.25","-25.90","-34.84","76.61","-92.47","-175.13","-212.89","-221.57","-240.80"
"  Interest Paid","-19.45","-87.56","-119.78","-504.25","-249.24","-87.60","-86.12","-77.86","-77.27"
"  Dividend Paid","","","","","","","0.00","-62.57","-66.68"
"Net change in cash and cash equivalents","-0.59","-0.56","-20.78","2.70","-5.67","82.40","91.10","-25.17","-1.72"
"  Cash and cash equivalents as at the beginning of the year","0.01","6.36","9.92","7.24","9.94","4.27","86.67","177.77","152.60"
"  Cash and cash equivalents as at the end of the year","6.36","9.92","7.24","9.94","4.27","86.67","177.77","152.60","150.88"
