"Avenue Supermarts Ltd."
"Statement of Cash Flow : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Net cash flow from operating activities","425.26","448.82","722.97","852.78","1,287.39","1,385.47","1,315.16","2,677.97","2,743.02","2,597.31"
"  Net profit before tax and extra ordinary income","488.35","747.11","1,195.91","1,447.64","1,782.89","1,544.79","2,181.73","3,231.16","3,611.38","3,883.17"
"  Adjustments for non-cash and non-operating expenses and income","99.51","-44.33","-76.48","-101.37","-13.98","96.79","-313.73","146.88","-137.98","-340.22"
"    Depreciation","97.10","126.02","154.65","198.80","339.81","371.36","421.06","543.25","632.79","775.82"
"    Interest Income","2.56","-7.22","-46.26","-25.84","-32.86","-178.13","-103.77","-106.54","-104.72","-83.74"
"    Interest Expense","91.23","121.80","59.41","47.15","62.76","34.48","39.60","48.07","44.27","57.75"
"    Dividend Income","0.00","-0.02","","","","","","","",""
"  Operating cash flow before working capital changes","","","","","","","","","",""
"    Cash Inflow/Outflow due to working capital changes","","","","","","","","","",""
"  Cash flow generated from operations","587.86","702.79","1,119.43","1,346.27","1,768.91","1,641.58","1,868.00","3,378.04","3,473.40","3,542.95"
"    Cash outflow due to direct taxes paid","-162.61","-253.97","-396.46","-493.49","-481.52","-256.11","-552.84","-700.07","-730.38","-945.64"
"  Cash flow before extraordinary items","","","","","","","","","",""
"    Cash inflow or (outflow) from extraordinary items","","","","","","","","","",""
"    Cash (outflow) due to miscellaneous expenditure","","","","","","","","","",""
"Net cash flow from investment activities","-624.99","-2,474.63","432.49","-997.62","-4,699.58","-1,155.48","-1,292.15","-2,442.18","-2,584.24","-2,322.19"
"  Purchase of fixed Assets","-632.50","-2,492.58","-896.79","-1,376.88","-1,683.06","-1,969.91","-2,283.20","-2,131.29","-2,687.01","-3,350.33"
"  Sale of Fixed Assets","1.99","9.64","6.86","8.05","5.51","2.20","1.49","2.26","2.01","4.81"
"  Purchase of Investments","13.90","20.62","92.88","82.50","75.30","115.00","130.01","242.41","189.45","291.10"
"  Sale of Investments","","","","0.00","-3,068.00","783.00","1,050.00","","",""
"  Interest Received","2.90","5.22","34.27","39.22","12.23","125.93","39.04","33.19","259.01","100.68"
"  Dividend Received","0.00","0.02","","","","","","","",""
"Net cash flow from financing activities","196.25","2,024.29","-1,121.71","200.94","3,383.53","-140.25","-120.75","-132.41","-86.69","-203.82"
"  Proceeds from Share Issue / Share Warrants","0.00","1,840.62","","0.00","4,186.85","0.00","0.00","14.63","72.92","0.00"
"  Redemption or Buyback of Capital","","","","","","","","","",""
"  Proceeds from Borrowings","0.00","200.00","0.00","986.52","1,090.49","200.00","248.00","","",""
"  Repayment of Borrowings","-146.80","-205.31","-1,041.87","-731.54","-2,125.88","-334.18","-367.54","-100.37","-115.34","-146.07"
"  Interest Paid","-93.27","-120.19","-79.84","-54.04","-67.93","-6.07","-1.21","-47.58","-44.27","-57.75"
"  Dividend Paid","","","","","","","","","",""
"Net change in cash and cash equivalents","-3.49","-1.52","33.75","56.10","-28.66","89.74","-97.74","103.38","72.09","71.30"
"  Cash and cash equivalents as at the beginning of the year","35.27","31.78","30.26","64.01","120.11","91.45","181.19","83.45","186.83","258.92"
"  Cash and cash equivalents as at the end of the year","31.78","30.26","64.01","120.11","91.45","181.19","83.45","186.83","258.92","330.22"
