"Ethos Ltd."
"Statement of Cash Flow : Mar 2018 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","",""
"Net cash flow from operating activities","-1.16","-22.01","36.45","63.45","16.65","-2.15","30.81","-20.29"
"  Net profit before tax and extra ordinary income","5.21","21.83","0.11","6.59","31.50","80.18","110.64","131.93"
"  Adjustments for non-cash and non-operating expenses and income","-7.06","-36.44","42.78","59.45","-5.11","-62.50","-52.63","-115.65"
"    Depreciation","4.07","4.85","34.64","32.52","31.51","34.63","48.67","63.00"
"    Interest Income","-0.94","-0.97","-1.14","-1.10","-2.03","-11.94","-18.29","-21.85"
"    Interest Expense","6.58","7.65","19.46","16.95","16.11","14.05","15.99","19.27"
"    Dividend Income","","","","","","","",""
"  Operating cash flow before working capital changes","","","","","","","",""
"    Cash Inflow/Outflow due to working capital changes","","","","","","","",""
"  Cash flow generated from operations","-1.85","-14.61","42.56","66.17","26.42","18.18","58.68","14.41"
"    Cash outflow due to direct taxes paid","0.69","-7.40","-6.10","-2.72","-9.77","-20.32","-27.87","-34.70"
"  Cash flow before extraordinary items","","","","","","","",""
"    Cash inflow or (outflow) from extraordinary items","","","","","","","",""
"    Cash (outflow) due to miscellaneous expenditure","","","","","","","",""
"Net cash flow from investment activities","-11.68","-13.12","-14.56","-10.04","-23.78","-256.21","-122.80","46.59"
"  Purchase of fixed Assets","-11.84","-12.98","-15.26","-9.60","-24.48","-57.76","-40.45","-79.33"
"  Sale of Fixed Assets","0.10","0.01","0.79","0.15","0.20","1.09","7.88","5.95"
"  Purchase of Investments","","","","","","0.00","18.43","4.73"
"  Sale of Investments","","","","","","","",""
"  Interest Received","0.06","-0.14","0.17","0.16","0.62","7.55","11.90","23.13"
"  Dividend Received","","","","","","","",""
"Net cash flow from financing activities","11.07","35.40","-19.62","-44.94","26.50","248.56","124.68","-58.40"
"  Proceeds from Share Issue / Share Warrants","22.26","29.18","21.00","0.00","47.60","339.69","169.60","0.00"
"  Redemption or Buyback of Capital","","","","","","","",""
"  Proceeds from Borrowings","11.29","16.54","7.50","-13.15","18.28","-20.62","-0.17","-4.69"
"  Repayment of Borrowings","-23.98","-2.78","-29.41","-15.29","-22.89","-54.84","-29.27","-33.94"
"  Interest Paid","-5.85","-7.54","-18.72","-16.51","-16.48","-15.67","-15.48","-19.76"
"  Dividend Paid","","","","","","","",""
"Net change in cash and cash equivalents","-1.77","0.28","2.27","8.47","19.37","-9.79","32.69","-32.10"
"  Cash and cash equivalents as at the beginning of the year","9.06","7.29","7.57","9.84","18.31","37.68","27.89","60.58"
"  Cash and cash equivalents as at the end of the year","7.29","7.57","9.84","18.31","37.68","27.89","60.58","28.48"
