"Kalyan Jewellers India Ltd."
"Statement of Cash Flow : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Net cash flow from operating activities","395.92","184.16","921.98","200.72","319.73","628.91","-835.14","1,013.37","1,321.80","1,209.40"
"  Net profit before tax and extra ordinary income","26.97","135.66","236.67","37.23","220.89","39.36","298.86","604.77","788.83","959.60"
"  Adjustments for non-cash and non-operating expenses and income","119.80","-302.82","725.59","203.30","105.34","646.49","118.93","570.85","759.22","487.68"
"    Depreciation","78.74","103.28","112.51","116.57","239.17","224.90","231.58","244.58","274.30","342.72"
"    Interest Income","","-34.69","-2.86","-35.00","-29.66","-15.49","-22.78","-27.26","-58.39","-76.47"
"    Interest Expense","","","261.12","278.44","363.07","361.63","322.36","302.57","323.24","359.46"
"    Dividend Income","","","","","","","0.00","","",""
"  Operating cash flow before working capital changes","","","","","","","","","",""
"    Cash Inflow/Outflow due to working capital changes","","","","","","","","","",""
"  Cash flow generated from operations","146.77","-167.16","962.26","240.53","326.23","685.85","417.78","1,142.37","1,548.04","1,447.28"
"    Cash outflow due to direct taxes paid","","-13.93","-40.28","-39.81","-6.50","-56.94","-152.92","-129.00","-226.24","-237.88"
"  Cash flow before extraordinary items","","","","","","","","","",""
"    Cash inflow or (outflow) from extraordinary items","","","","","","","","","",""
"    Cash (outflow) due to miscellaneous expenditure","","","","","","","","","",""
"Net cash flow from investment activities","-331.12","-143.23","-642.83","-111.88","34.33","-217.28","63.57","-383.90","-136.98","-176.55"
"  Purchase of fixed Assets","-209.81","-131.14","-299.60","-307.46","-119.15","-48.16","-91.26","-187.12","-371.45","-464.83"
"  Sale of Fixed Assets","","","","0.00","11.65","0.30","0.45","0.86","0.27","20.42"
"  Purchase of Investments","","","","","","","","7.50","0.65","0.00"
"  Sale of Investments","","","","","","","","3.81","0.66","0.00"
"  Interest Received","35.68","34.69","2.47","31.18","30.17","12.65","19.94","13.16","39.90","32.65"
"  Dividend Received","","","","","","","","","",""
"Net cash flow from financing activities","3.46","13.60","-301.47","-116.91","-343.29","-207.64","543.51","-637.59","-1,148.01","-840.24"
"  Proceeds from Share Issue / Share Warrants","","0.00","500.00","","0.00","756.47","","","0.00","14.50"
"  Redemption or Buyback of Capital","","","","","","","","","",""
"  Proceeds from Borrowings","310.41","963.32","1,138.12","415.58","487.05","0.00","-49.06","","",""
"  Repayment of Borrowings","","-586.25","-1,681.11","-248.48","-559.75","-677.72","353.36","-408.49","-857.67","-465.68"
"  Interest Paid","-306.95","","-258.48","-284.02","-270.59","-286.39","240.72","-229.10","-238.85","-223.36"
"  Dividend Paid","0.00","-0.00","-0.01","0.00","","","","0.00","-51.49","-123.61"
"Net change in cash and cash equivalents","68.26","54.52","-22.32","-28.07","10.76","203.99","-228.06","-8.12","36.80","192.62"
"  Cash and cash equivalents as at the beginning of the year","117.57","145.97","200.49","178.17","150.10","160.87","364.86","149.02","140.91","177.71"
"  Cash and cash equivalents as at the end of the year","185.84","200.49","178.17","150.10","160.87","364.86","149.02","140.91","177.71","370.33"
