"Metro Brands Ltd."
"Statement of Cash Flow : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Net cash flow from operating activities","89.83","84.33","154.58","104.33","273.08","265.28","219.70","380.67","590.08","697.53"
"  Net profit before tax and extra ordinary income","133.19","148.41","214.90","238.40","218.42","84.51","283.14","489.09","462.38","501.94"
"  Adjustments for non-cash and non-operating expenses and income","12.94","-14.34","7.89","-53.72","115.49","201.13","8.02","32.79","211.70","331.89"
"    Depreciation","13.01","15.89","19.52","22.60","120.61","121.84","134.24","181.01","229.12","258.03"
"    Interest Income","","-1.31","-1.16","-1.13","-3.97","-5.31","-10.81","-30.11","-44.67","-61.71"
"    Interest Expense","0.68","0.43","0.41","0.61","0.77","0.62","49.04","63.06","78.89","90.46"
"    Dividend Income","-0.14","-0.88","-3.47","-4.23","-4.62","-0.52","0.00","-0.12","-0.47","-1.05"
"  Operating cash flow before working capital changes","146.13","","","","","","","","",""
"    Cash Inflow/Outflow due to working capital changes","-11.76","","","","","","","","",""
"  Cash flow generated from operations","134.37","134.07","222.79","184.68","333.91","285.63","291.16","521.88","674.08","833.83"
"    Cash outflow due to direct taxes paid","-44.53","-49.75","-68.21","-80.35","-60.83","-20.36","-71.46","-141.21","-84.00","-136.30"
"  Cash flow before extraordinary items","89.83","","","","","","","","",""
"    Cash inflow or (outflow) from extraordinary items","","","","","","","","","",""
"    Cash (outflow) due to miscellaneous expenditure","","","","","","","","","",""
"Net cash flow from investment activities","-62.50","-85.32","-93.73","-67.35","-162.62","-122.38","-300.93","-51.56","-251.32","122.39"
"  Purchase of fixed Assets","-27.03","-58.64","-33.21","-58.77","-44.21","-25.10","-47.92","-99.64","-116.13","-87.40"
"  Sale of Fixed Assets","1.19","0.34","0.08","0.38","0.21","0.35","0.48","8.13","5.06","1.33"
"  Purchase of Investments","216.88","221.80","294.09","","","","299.98","1,346.21","1,629.32","2,140.55"
"  Sale of Investments","179.26","212.58","208.81","","","","353.79","1,285.55","1,373.50","2,365.61"
"  Interest Received","0.74","1.23","1.15","1.12","1.22","1.88","6.76","21.11","47.81","48.76"
"  Dividend Received","0.14","0.88","3.47","4.23","4.62","0.52","0.00","0.12","0.47","1.05"
"Net cash flow from financing activities","-27.93","-0.52","-50.49","-40.64","-111.50","-127.08","116.46","-358.82","-322.67","-773.00"
"  Proceeds from Share Issue / Share Warrants","0.16","","","0.74","","0.00","292.40","2.83","4.20","8.10"
"  Redemption or Buyback of Capital","","","","","","","","","",""
"  Proceeds from Borrowings","0.00","0.41","3.10","3.87","1.66","-10.12","","","",""
"  Repayment of Borrowings","-5.26","-0.50","","0.00","-112.39","-66.55","-105.23","-273.23","-211.23","-238.87"
"  Interest Paid","-0.68","-0.43","-0.41","-0.61","-0.77","-0.62","-0.12","-0.14","-0.26","-0.48"
"  Dividend Paid","-22.16","0.00","-53.18","-44.64","0.00","-49.79","-70.60","-88.30","-115.53","-541.96"
"Net change in cash and cash equivalents","-0.60","-1.51","10.36","-3.66","-1.03","15.82","35.22","-29.71","16.09","46.92"
"  Cash and cash equivalents as at the beginning of the year","6.93","6.33","4.82","15.18","11.53","10.50","26.32","61.54","31.83","47.92"
"  Cash and cash equivalents as at the end of the year","6.33","4.82","15.18","11.53","10.50","26.32","61.54","31.83","47.92","94.84"
