"Titan Company Ltd."
"Statement of Cash Flow : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Net cash flow from operating activities","576.09","1,712.30","-51.12","1,242.92","-349.00","4,139.00","-724.00","1,370.00","1,695.00","-541.00"
"  Net profit before tax and extra ordinary income","868.11","1,077.71","1,549.20","1,959.05","2,106.00","1,332.00","2,958.00","4,446.00","4,622.00","4,534.00"
"  Adjustments for non-cash and non-operating expenses and income","-89.55","1,015.80","-1,124.82","-77.93","-1,893.00","3,144.00","-2,792.00","-1,921.00","-1,754.00","-3,996.00"
"    Depreciation","99.48","110.53","131.43","162.84","348.00","375.00","399.00","441.00","584.00","693.00"
"    Interest Income","-57.55","-51.37","-64.22","-103.69","-98.00","-61.00","-96.00","-143.00","-249.00","-288.00"
"    Interest Expense","42.36","37.74","52.92","52.54","166.00","203.00","218.00","300.00","619.00","953.00"
"    Dividend Income","","","","","","","","","",""
"  Operating cash flow before working capital changes","","","","","","","","","",""
"    Cash Inflow/Outflow due to working capital changes","","","","","","","","","",""
"  Cash flow generated from operations","778.56","1,989.05","404.96","1,878.96","208.00","4,471.00","112.00","2,526.00","2,869.00","539.00"
"    Cash outflow due to direct taxes paid","-202.47","-276.75","-456.08","-636.04","-557.00","-271.00","-802.00","-1,154.00","-1,173.00","-1,089.00"
"  Cash flow before extraordinary items","","","","","","","","","",""
"    Cash inflow or (outflow) from extraordinary items","","","","","","","","","",""
"    Cash (outflow) due to miscellaneous expenditure","","","","","","","","","",""
"Net cash flow from investment activities","-158.82","-984.37","96.36","-798.34","235.00","-2,801.00","1,164.00","-1,811.00","-189.00","546.00"
"  Purchase of fixed Assets","-1,350.27","-266.88","-304.85","-264.72","-355.00","-146.00","-377.00","-433.00","-721.00","-494.00"
"  Sale of Fixed Assets","1,085.30","5.05","5.58","1.37","10.00","7.00","8.00","12.00","20.00","24.00"
"  Purchase of Investments","-37.98","","","0.00","39.00","","","","",""
"  Sale of Investments","","","0.00","18.21","","","","","",""
"  Interest Received","58.26","40.89","63.63","84.86","73.00","49.00","56.00","143.00","249.00","288.00"
"  Dividend Received","","","","","","","","","",""
"Net cash flow from financing activities","-504.84","-165.60","-252.45","-488.83","-242.00","-1,234.00","-403.00","457.00","-1,329.00","-7.00"
"  Proceeds from Share Issue / Share Warrants","","","","","","","","","",""
"  Redemption or Buyback of Capital","","","","","","","","0.00","5,133.00","7.00"
"  Proceeds from Borrowings","13.26","","78.99","0.00","693.00","","","0.00","5,629.00","2,599.00"
"  Repayment of Borrowings","","-124.31","0.00","-38.91","-233.00","-676.00","170.00","1,423.00","-318.00","-1,078.00"
"  Interest Paid","","","","","-166.00","-203.00","-218.00","-300.00","-619.00","-538.00"
"  Dividend Paid","-475.74","-3.55","-277.39","-397.38","-536.00","-355.00","-355.00","-666.00","-888.00","-976.00"
"Net change in cash and cash equivalents","-87.57","562.33","-207.21","-44.25","-356.00","104.00","37.00","16.00","177.00","-2.00"
"  Cash and cash equivalents as at the beginning of the year","171.99","117.76","678.00","472.05","431.00","75.00","181.00","219.00","232.00","409.00"
"  Cash and cash equivalents as at the end of the year","84.45","678.00","472.05","429.53","75.00","181.00","219.00","232.00","409.00","407.00"
