"Arvind Fashions Ltd."
"Statement of Profit & Loss : Mar 2017 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","",""
"Total Income","1,294.55","4,231.35","4,647.99","3,673.35","2,020.65","3,122.92","4,473.58","4,292.86","4,654.48"
"  Revenue From Operations(Net)","1,292.19","4,218.90","4,643.86","3,613.57","1,911.91","3,056.04","4,421.08","4,259.12","4,619.84"
"    Revenue From Sale of Products","1,286.08","4,184.03","4,589.80","3,578.61","1,895.58","3,025.30","4,369.83","4,201.41","4,562.95"
"    Revenue From Sale of Services","5.10","33.37","30.14","31.75","14.79","27.10","46.03","50.14","54.66"
"    Other operating Revenue","1.01","1.50","23.92","3.21","1.54","3.64","5.22","7.57","2.23"
"    Less:Indirect Taxes","","","","","","","","",""
"    Revenue from Interest","","","","","","","","",""
"    Revenue from Other Financial Services","","","","","","","","",""
"  Other Income","2.36","12.45","4.13","59.78","108.74","66.88","52.50","33.74","34.64"
"","","","","","","","","",""
"Total Expenses","1,292.61","4,219.78","4,635.11","4,049.99","2,331.63","3,232.80","4,345.55","4,122.85","4,429.36"
"  Cost of material consumed","1.52","2.92","5.85","5.15","0.00","0.00","0.00","0.00","0.00"
"  Purchase of traded goods","941.92","1,572.40","2,739.07","2,071.95","626.66","1,764.09","2,442.78","2,074.41","2,320.15"
"  Changes in inventories of FG, WIP and SIT","-247.59","403.59","-456.20","-84.83","491.56","-54.28","-151.09","-37.31","-170.61"
"  Employee benefit expense","111.56","366.88","407.76","313.06","204.72","236.76","268.16","260.07","268.65"
"  Finance Cost","32.59","91.34","126.21","273.55","180.29","123.92","138.38","144.18","155.80"
"  Depreciation & Amortisation","42.96","138.95","153.16","420.66","237.84","233.00","238.73","230.08","255.72"
"  Other Expenses","409.65","1,643.70","1,659.26","1,050.45","590.56","929.31","1,408.59","1,451.42","1,599.65"
"Total profit before prior period items, exceptional items, extraordinary items and tax","1.94","11.57","12.88","-376.64","-310.98","-109.88","128.03","170.01","225.12"
"  Prior period items before tax","","","","","","","","",""
"  Exceptional items before tax","-3.18","","0.00","-60.69","-45.20","","0.00","-6.17","0.00"
"Total profit before extraordinary items and tax","-1.24","11.57","12.88","-437.33","-356.18","-109.88","128.03","163.84","225.12"
"  Extraordinary items before tax","","","","","","","","",""
"Total profit before tax","-1.24","11.57","12.88","-437.33","-356.18","-109.88","128.03","163.84","225.12"
"  Tax expense","-16.24","-1.35","-8.60","-77.43","41.86","-5.80","40.11","57.25","190.72"
"    Current tax","0.28","25.73","21.16","-0.17","0.00","13.33","40.67","50.52","61.41"
"    Deferred Tax","-16.52","-27.08","-29.76","-77.26","41.86","-19.13","-0.56","6.73","129.31"
"Total profit (loss) for period from continuing operations","15.00","12.92","21.48","-359.90","-398.04","-104.08","87.92","106.59","34.40"
"Total profit (loss) for period from discontinuing operations","0.00","0.00","0.00","-39.29","-197.95","-132.62","-0.96","30.52","-1.42"
"Total profit (loss) for period","15.00","14.47","16.61","-400.74","-579.78","-267.40","36.71","80.64","-35.57"
"","","","","","","","","",""
"Earnings per equity share","","","","","","","","",""
"  Basic earning per equity share","2.98","2.55","2.87","-51.54","-62.91","-21.90","2.77","6.07","-2.67"
"  Diluted earnings per equity share","2.82","2.48","2.81","-51.18","-62.91","-21.90","2.76","6.05","-2.67"
