"Avenue Supermarts Ltd."
"Statement of Profit & Loss : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Total Income","8,595.23","11,912.41","15,081.53","19,967.66","24,738.34","23,996.10","30,493.37","41,996.34","49,722.00","57,963.83"
"  Revenue From Operations(Net)","8,575.18","11,881.12","15,008.89","19,916.25","24,675.01","23,787.20","30,352.50","41,833.25","49,532.95","57,789.81"
"    Revenue From Sale of Products","8,557.30","11,858.42","14,974.65","19,881.55","24,642.30","23,729.38","30,258.21","41,726.19","49,447.77","57,662.56"
"    Revenue From Sale of Services","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Other operating Revenue","17.87","22.70","34.24","34.70","32.71","57.82","94.29","107.06","85.18","127.25"
"    Less:Indirect Taxes","","","","","","","","","",""
"    Revenue from Interest","","","","","","","","","",""
"    Revenue from Other Financial Services","","","","","","","","","",""
"Other Income","20.05","31.29","72.64","51.41","63.33","208.90","140.87","163.09","189.05","174.02"
"","","","","","","","","","",""
"Total Expenses","8,106.87","11,165.29","13,885.62","18,520.02","22,955.45","22,451.31","28,311.64","38,765.18","46,110.62","54,080.66"
"  Cost of material consumed","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"  Purchase of traded goods","7,444.17","10,368.95","12,862.76","17,409.12","21,349.14","20,614.23","26,472.23","36,243.89","43,214.52","50,698.32"
"  Changes in inventories of FG, WIP and SIT","-130.28","-272.96","-213.88","-429.18","-333.21","-257.90","-419.56","-468.67","-667.87","-1,082.02"
"  Employee benefit expense","146.22","189.47","276.56","335.03","424.74","495.13","548.23","648.18","785.71","1,013.26"
"  Finance Cost","91.23","121.80","59.41","47.15","62.76","34.48","39.60","48.07","44.27","57.75"
"  Depreciation & Amortisation","97.10","126.02","154.65","198.80","339.81","371.36","421.06","543.25","632.79","775.82"
"  Other Expenses","458.44","632.00","746.12","959.10","1,112.21","1,194.01","1,250.08","1,750.46","2,101.20","2,617.53"
"Total profit before prior period items, exceptional items, extraordinary items and tax","488.35","747.11","1,195.91","1,447.64","1,782.89","1,544.79","2,181.73","3,231.16","3,611.38","3,883.17"
"  Prior period items before tax","","","","","","","","","",""
"  Exceptional items before tax","","","","","","","","","",""
"Total profit before extraordinary items and tax","488.35","747.11","1,195.91","1,447.64","1,782.89","1,544.79","2,181.73","3,231.16","3,611.38","3,883.17"
"  Extraordinary items before tax","","","","","","","","","",""
"Total profit before tax","488.35","747.11","1,195.91","1,447.64","1,782.89","1,544.79","2,181.73","3,231.16","3,611.38","3,883.17"
"  Tax expense","170.44","264.47","411.23","511.29","433.00","379.48","565.56","674.76","916.46","955.99"
"    Current tax","160.95","252.82","416.68","493.52","448.87","375.78","552.62","661.10","900.92","934.88"
"    Deferred Tax","9.49","11.65","-5.45","17.77","-15.87","3.70","12.94","13.66","15.54","21.11"
"Total profit (loss) for period from continuing operations","317.91","482.64","784.68","936.35","1,349.89","1,165.31","1,616.17","2,556.40","2,694.92","2,927.18"
"Total profit (loss) for period from discontinuing operations","","","","","","","","0.00","0.00","0.00"
"Total profit (loss) for period","317.91","482.64","784.68","936.35","1,349.89","1,165.31","1,616.17","2,556.40","2,694.92","2,927.18"
"","","","","","","","","","",""
"Earnings per equity share","","","","","","","","","",""
"  Basic earning per equity share","5.66","8.56","12.57","15.00","21.49","17.99","24.95","39.46","41.43","44.98"
"  Diluted earnings per equity share","5.66","8.55","12.41","14.79","21.33","17.86","24.75","39.22","41.36","44.87"
