"Ethos Ltd."
"Statement of Profit & Loss : Mar 2018 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","",""
"Total Income","357.85","445.10","460.17","403.00","590.06","803.09","1,022.61","1,275.93"
"  Revenue From Operations(Net)","356.09","443.53","457.85","386.57","577.28","788.53","998.99","1,251.63"
"    Revenue From Sale of Products","353.68","437.44","449.06","381.85","572.89","783.80","993.09","1,244.55"
"    Revenue From Sale of Services","1.68","5.47","8.79","4.72","4.39","4.73","5.90","7.08"
"    Other operating Revenue","0.73","0.62","","","","","",""
"    Less:Indirect Taxes","","","","","","","",""
"    Revenue from Interest","","","","0.00","","","",""
"    Revenue from Other Financial Services","","","","0.00","0.00","0.00","0.00","0.00"
"  Other Income","1.76","1.57","2.32","16.43","12.78","14.56","23.62","24.30"
"","","","","","","","",""
"Total Expenses","352.64","423.27","460.06","396.41","558.56","722.91","911.97","1,144.00"
"  Cost of material consumed","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"  Purchase of traded goods","273.10","349.88","342.05","260.85","463.29","634.32","798.18","1,029.66"
"  Changes in inventories of FG, WIP and SIT","-2.05","-34.54","-13.02","20.82","-52.16","-89.94","-99.82","-152.98"
"  Employee benefit expense","22.69","33.13","33.17","29.20","42.38","52.68","70.70","85.34"
"  Finance Cost","6.58","7.65","19.46","17.03","16.67","14.16","16.02","19.44"
"  Depreciation & Amortisation","4.07","4.85","34.64","32.52","31.51","34.63","48.67","63.00"
"  Other Expenses","48.24","62.30","43.75","35.98","56.87","77.06","78.22","99.54"
"Total profit before prior period items, exceptional items, extraordinary items and tax","5.21","21.83","0.11","6.59","31.50","80.18","110.64","131.93"
"  Prior period items before tax","","","","","","","",""
"  Exceptional items before tax","","0.00","-0.33","0.14","0.02","0.50","0.67","-1.86"
"Total profit before extraordinary items and tax","5.21","21.83","-0.22","6.72","31.53","80.68","111.31","130.07"
"  Extraordinary items before tax","","","","","","","",""
"Total profit before tax","5.21","21.83","-0.22","6.72","31.53","80.68","111.31","130.07"
"  Tax expense","1.21","8.46","2.24","1.97","8.14","20.38","28.02","33.78"
"    Current tax","0.81","9.84","3.19","2.89","8.99","19.86","28.31","34.81"
"    Deferred Tax","0.40","-1.38","-0.95","-0.93","-0.85","0.52","-0.29","-1.03"
"Total profit (loss) for period from continuing operations","3.99","13.37","-2.46","4.76","23.39","60.30","83.29","96.29"
"Total profit (loss) for period from discontinuing operations","","","","","","","",""
"Total profit (loss) for period","3.99","13.37","-2.46","4.76","23.39","60.30","83.29","96.29"
"","","","","","","","",""
"Earnings per equity share","","","","","","","",""
"  Basic earning per equity share","1.94","7.40","-1.39","2.61","12.69","26.56","34.98","39.33"
"  Diluted earnings per equity share","1.94","7.40","-1.39","2.59","12.69","26.56","34.98","39.33"
