"Kalyan Jewellers India Ltd."
"Statement of Profit & Loss : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Total Income","9,919.74","9,630.78","10,580.20","9,814.03","10,181.02","8,618.67","10,856.23","14,109.34","18,621.99","25,189.67"
"  Revenue From Operations(Net)","9,802.89","9,588.75","10,547.95","9,770.76","10,100.92","8,573.31","10,817.93","14,071.45","18,515.55","25,045.07"
"    Revenue From Sale of Products","9,788.68","9,563.68","10,462.56","9,733.96","10,028.08","8,543.33","10,780.83","14,025.01","18,472.56","24,945.51"
"    Revenue From Sale of Services","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Other operating Revenue","14.21","25.07","85.39","36.80","72.84","29.97","37.11","46.44","42.99","99.56"
"    Less:Indirect Taxes","","","","","","","","","",""
"    Revenue from Interest","","","","","","0.00","0.00","","",""
"    Revenue from Other Financial Services","","","","","","0.00","0.00","","",""
"  Other Income","116.85","42.03","32.25","43.27","80.10","45.37","38.29","37.89","106.44","144.60"
"","","","","","","","","","",""
"Total Expenses","9,892.77","9,495.12","10,343.53","9,776.80","9,960.13","8,579.32","10,557.37","13,504.57","17,833.17","24,230.07"
"  Cost of material consumed","8,859.38","7,854.79","8,820.04","7,516.49","8,469.29","7,482.50","9,709.12","13,104.19","17,070.19","22,257.33"
"  Purchase of traded goods","0.88","","","","","0.00","","","0.00","254.27"
"  Changes in inventories of FG, WIP and SIT","-349.57","0.00","0.00","679.94","-77.52","-368.38","-582.83","-1,231.96","-1,235.60","-750.79"
"  Employee benefit expense","303.43","310.00","368.74","381.40","357.23","331.53","354.27","440.57","607.18","738.63"
"  Finance Cost","309.29","365.24","276.81","294.34","380.32","375.42","322.36","302.57","323.24","359.46"
"  Depreciation & Amortisation","78.74","103.28","112.51","116.57","239.17","224.90","231.58","244.58","274.30","342.72"
"  Other Expenses","690.62","861.80","765.44","788.06","591.66","533.36","522.87","644.63","793.86","1,028.45"
"Total profit before prior period items, exceptional items, extraordinary items and tax","26.97","135.66","236.67","37.23","220.89","39.36","298.86","604.77","788.83","959.60"
"  Prior period items before tax","","","","","","","","","",""
"  Exceptional items before tax","","","","","","","0.00","-33.25","",""
"Total profit before extraordinary items and tax","26.97","135.66","236.67","37.23","220.89","39.36","298.86","571.52","788.83","959.60"
"  Extraordinary items before tax","","","","","","","","","",""
"Total profit before tax","26.97","135.66","236.67","37.23","220.89","39.36","298.86","571.52","788.83","959.60"
"  Tax expense","-17.38","24.42","81.95","19.50","78.61","45.43","74.83","139.59","192.54","245.43"
"    Current tax","0.00","12.08","75.37","20.44","59.13","76.14","81.29","155.01","198.12","300.08"
"    Deferred Tax","-17.38","12.34","6.58","-0.94","19.48","-30.71","-6.47","-15.42","-5.58","-54.65"
"Total profit (loss) for period from continuing operations","44.35","111.25","154.72","17.73","142.28","-6.07","224.03","431.93","596.29","714.17"
"Total profit (loss) for period from discontinuing operations","","","","","","","","","",""
"Total profit (loss) for period","44.35","111.25","156.10","18.99","143.00","-6.30","224.21","431.93","596.29","714.17"
"","","","","","","","","","",""
"Earnings per equity share","","","","","","","","","",""
"  Basic earning per equity share","","","","","1.70","-0.07","2.18","4.20","5.80","6.93"
"  Diluted earnings per equity share","","","","","1.49","-0.07","2.18","4.20","5.80","6.93"
