"Metro Brands Ltd."
"Statement of Profit & Loss : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Total Income","807.66","964.62","1,094.21","1,234.86","1,311.07","878.54","1,401.57","2,181.51","2,427.52","2,600.38"
"  Revenue From Operations(Net)","803.09","954.64","1,085.30","1,217.07","1,285.16","800.06","1,342.93","2,127.10","2,356.70","2,507.39"
"    Revenue From Sale of Products","959.59","954.19","1,085.30","1,216.57","1,280.68","799.01","1,342.25","2,126.45","2,355.89","2,506.61"
"    Revenue From Sale of Services","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"    Other operating Revenue","","0.45","","0.50","4.49","1.04","0.68","0.65","0.81","0.78"
"    Less:Indirect Taxes","156.49","","","","","","","","",""
"    Revenue from Interest","","","","","","","","","",""
"    Revenue from Other Financial Services","","","","","","","","","",""
"  Other Income","4.57","9.99","8.91","17.80","25.91","78.48","58.64","54.41","70.82","92.99"
"","","","","","","","","","",""
"Total Expenses","674.48","816.21","879.31","996.46","1,092.65","794.03","1,118.43","1,692.42","1,965.14","2,098.44"
"  Cost of material consumed","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"  Purchase of traded goods","400.58","468.05","512.03","633.94","582.18","274.10","700.34","1,065.71","1,051.91","987.61"
"  Changes in inventories of FG, WIP and SIT","-10.36","-31.52","-36.15","-85.21","-11.52","86.38","-134.44","-173.74","-64.38","73.26"
"  Employee benefit expense","69.49","81.84","97.47","112.14","126.76","102.60","121.24","184.35","227.95","245.00"
"  Finance Cost","0.68","0.43","0.41","0.61","39.55","44.81","50.43","63.06","78.89","90.46"
"  Depreciation & Amortisation","13.01","15.89","19.52","22.60","120.61","121.84","134.24","181.01","229.12","258.03"
"  Other Expenses","201.08","281.52","286.03","312.38","235.08","164.29","246.62","372.03","441.65","444.08"
"Total profit before prior period items, exceptional items, extraordinary items and tax","133.19","148.41","214.90","238.40","218.42","84.51","283.14","489.09","462.38","501.94"
"  Prior period items before tax","","","","","","","","","",""
"  Exceptional items before tax","","","","","","","","","",""
"Total profit before extraordinary items and tax","133.19","148.41","214.90","238.40","218.42","84.51","283.14","489.09","462.38","501.94"
"  Extraordinary items before tax","","","","","","","","","",""
"Total profit before tax","133.19","148.41","214.90","238.40","218.42","84.51","283.14","489.09","462.38","501.94"
"  Tax expense","45.77","50.64","73.05","80.52","58.69","19.29","70.19","125.74","49.93","149.11"
"    Current tax","45.54","49.41","72.46","76.99","57.05","23.55","75.80","137.06","81.45","146.91"
"    Deferred Tax","0.24","1.23","0.59","3.52","1.64","-4.26","-5.62","-11.32","-31.52","2.20"
"Total profit (loss) for period from continuing operations","87.41","97.77","141.85","157.88","159.73","65.22","212.95","363.35","412.45","352.83"
"Total profit (loss) for period from discontinuing operations","","","","","","","","","",""
"Total profit (loss) for period","84.93","94.62","142.28","154.46","156.73","68.20","211.59","361.45","412.51","350.61"
"","","","","","","","","","",""
"Earnings per equity share","","","","","","","","","",""
"  Basic earning per equity share","57.68","66.33","10.73","","","","","13.31","15.18","12.89"
"  Diluted earnings per equity share","57.64","66.27","10.72","","","","","13.26","15.11","12.84"
