"Titan Company Ltd."
"Statement of Profit & Loss : Mar 2016 - Mar 2025 : Non-Annualised : Rs. Crore"
" ","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025",
" ","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths","12 mths",
"-","","","","","","","","","",""
"Total Income","11,383.94","13,452.62","16,244.81","19,961.46","21,205.00","21,830.00","29,033.00","40,883.00","51,617.00","60,942.00"
"  Revenue From Operations(Net)","11,310.02","13,382.13","16,155.95","19,778.52","21,052.00","21,644.00","28,799.00","40,575.00","51,084.00","60,456.00"
"    Revenue From Sale of Products","0.00","13,299.54","15,970.07","19,573.98","20,757.00","20,067.00","27,383.00","37,896.00","46,670.00","57,100.00"
"    Revenue From Sale of Services","0.00","8.54","12.60","18.08","11.00","21.00","34.00","28.00","81.00","43.00"
"    Other operating Revenue","","74.05","173.28","186.46","284.00","1,556.00","1,382.00","2,651.00","4,333.00","3,313.00"
"    Less:Indirect Taxes","","","","","","","","","",""
"    Revenue from Interest","","","","","","","","","",""
"    Revenue from Other Financial Services","11,310.02","","","","","","","","",""
"  Other Income","73.92","70.49","88.86","182.94","153.00","186.00","234.00","308.00","533.00","486.00"
"","","","","","","","","","",""
"Total Expenses","10,515.83","12,374.91","14,695.61","18,002.41","19,099.00","20,498.00","26,075.00","36,437.00","46,995.00","56,408.00"
"  Cost of material consumed","7,415.94","8,646.64","10,452.82","12,230.63","13,042.00","13,713.00","22,108.00","26,891.00","36,104.00","47,708.00"
"  Purchase of traded goods","956.23","1,174.50","2,212.01","2,940.03","2,991.00","2,579.00","4,328.00","5,698.00","5,999.00","7,563.00"
"  Changes in inventories of FG, WIP and SIT","-191.43","-313.71","-978.61","-776.41","-878.00","122.00","-4,795.00","-2,234.00","-2,671.00","-7,815.00"
"  Employee benefit expense","696.28","787.47","885.08","1,019.27","1,199.00","1,065.00","1,349.00","1,647.00","1,864.00","2,156.00"
"  Finance Cost","42.36","37.74","52.92","52.54","166.00","203.00","218.00","300.00","619.00","953.00"
"  Depreciation & Amortisation","98.19","110.53","131.43","162.84","348.00","375.00","399.00","441.00","584.00","693.00"
"  Other Expenses","1,498.26","1,931.74","1,939.96","2,373.51","2,231.00","2,441.00","2,468.00","3,694.00","4,496.00","5,150.00"
"Total profit before prior period items, exceptional items, extraordinary items and tax","868.11","1,077.71","1,549.20","1,959.05","2,106.00","1,332.00","2,958.00","4,446.00","4,622.00","4,534.00"
"  Prior period items before tax","","","","","","","","","",""
"  Exceptional items before tax","0.00","-104.46","-19.42","-2.16","-5.00","-5.00","-54.00","1.00","1.00","1.00"
"Total profit before extraordinary items and tax","868.11","973.25","1,529.78","1,956.89","2,101.00","1,327.00","2,904.00","4,447.00","4,623.00","4,535.00"
"  Extraordinary items before tax","","","","","","","","","",""
"Total profit before tax","868.11","973.25","1,529.78","1,956.89","2,101.00","1,327.00","2,904.00","4,447.00","4,623.00","4,535.00"
"  Tax expense","191.59","275.97","427.87","568.24","609.00","353.00","706.00","1,173.00","1,127.00","1,198.00"
"    Current tax","170.96","302.11","449.96","617.50","570.00","360.00","786.00","1,147.00","1,101.00","1,183.00"
"    Deferred Tax","20.63","-26.14","-22.09","-49.26","39.00","-7.00","-80.00","26.00","26.00","15.00"
"Total profit (loss) for period from continuing operations","676.52","697.28","1,101.91","1,388.65","1,492.00","974.00","2,198.00","3,274.00","3,496.00","3,337.00"
"Total profit (loss) for period from discontinuing operations","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Total profit (loss) for period","674.52","697.28","1,130.09","1,404.15","1,500.00","973.00","2,173.00","3,250.00","3,496.00","3,337.00"
"","","","","","","","","","",""
"Earnings per equity share","","","","","","","","","",""
"  Basic earning per equity share","","","12.73","15.82","16.91","10.96","24.48","36.61","39.40","37.62"
"  Diluted earnings per equity share","","","12.73","15.82","16.91","10.96","24.48","36.61","39.38","37.61"
